CGGTTS GPS DATA FORMAT VERSION = 01
REV DATE = 2004-02018
RECV = Freqtime remote calibration receiver  ver.1.26TCXO
CH = 12
IMS = 2581475
LAB = ID0077
X = -1837358.52m
Y = +6069701.98m
Z = -679398.12m
FRAME = WGS-84
COMMENT = BMKG2
INT DLY =        0.0 ns
CAB DLY =      600.0 ns
REF DLY =        5.0 ns
REF = EXTERNAL
CKSUM = AA

PRN CL  MJD  STTIME TRKL ELV AZTH   REFSV      SRSV     REFGPS    SRGPS  DSG IOE MDTR SMDT MDIO SMDI CK
 31 FF 60369 004600  780 147  235   +12265529   +110      -13322   +111  177  82  310   -9  470  +23 53
 26 FF 60369 004600  780 259   73    +8135515    -70      -13266    -28  140  44  182  +37  354  +65 3F
  3 FF 60369 004600  780 286 2954    +7761693   +254      -13332    +20  152  87  166  -19  341   -6 58
 10 FF 60369 004600  780 153 1530    +9975891    +22      -13343    +27   82  34  299 +112  434  +78 62
  8 FF 60369 010200  780 458 2003    +9801930   +210      -13053    -93  124  58  111  -14  245  -15 44
 21 FF 60369 010200  780 185 2114    +8654409   -249      -13339   -234  306  12  250  -29  431   +4 62
 16 FF 60369 010200  780 428 3436   +13509333   +193      -13154   +107  132  79  117  +14  263  +43 83
 27 FF 60369 010200  780 727 1326   +10066902     -4      -12953    +26   82  87   84   -1  195   +5 15
 32 FF 60369 010200  780 358 1215   +16125958    -23      -13110     -6   74 121  136  +14  306  +38 44
 26 FF 60369 010200  780 205  114    +8135560   -116      -13287    -74  149  44  226  +55  421  +74 53
  3 FF 60369 010200  780 318 2873    +7761556    +43      -13217   -189  182  87  151  -12  337   -2 52
  2 FF 60369 010200  780 112 2227   +14767406    -19      -13328    -81  261  14  401  -75  437   +9 40
  8 FF 60369 011800  780 534 2007    +9801667   +297      -13030     -3  104  58   99  -10  233  -10 33
 21 FF 60369 011800  780 209 2049    +8654495    -62      -13267    -47  118  12  222  -27  432   -1 4B
 16 FF 60369 011800  780 365 3495   +13509200   +214      -13232   +130  131  79  134  +20  309  +51 76
 27 FF 60369 011800  780 756 1020   +10066982   -118      -12902    -89   89  87   82   +0  202   +9 43
 32 FF 60369 011800  780 312 1286   +16125903    +81      -13180    +98  106 121  154  +22  347  +49 73
 26 FF 60369 011800  780 156  157    +8135583   -145      -13279   -103  110  44  292  +85  497  +82 7D
  3 FF 60369 011800  780 341 2784    +7761306   +105      -13241   -127  225  87  142   -7  337   +2 43
  2 FF 60369 011800  780 136 2164   +14767411   -116      -13267   -176  235  14  334  -62  444   +3 68
  8 FF 60369 013400  780 613 2027    +9801407    +93      -12997   -210  191  58   91   -7  224   -5 30
 21 FF 60369 013400  780 238 1984    +8654493    -24      -13283    -10  154  12  197  -25  427   -7 55
 16 FF 60369 013400  780 306 3549   +13509109   +137      -13241    +52  132  79  156  +27  363  +61 7B
 27 FF 60369 013400  780 738  689   +10066945   -151      -12942   -121  151  87   83   +1  212  +12 5B
 32 FF 60369 013400  780 259 1343   +16125846   +104      -13253   +121  118 121  182  +37  400  +61 85
  3 FF 60369 013400  780 355 2689    +7761111   +192      -13210    -43  154  87  137   -3  342   +7 35
  2 FF 60369 013400  780 164 2102   +14767287   +127      -13305    +67  214  14  280  -51  443   -4 4D
  8 FF 60369 015000  780 693 2079    +9801164   +283      -12952    -19  107  58   85   -4  221   -1 32
 21 FF 60369 015000  780 272 1918    +8654579    +22      -13209    +31  129  12  174  -21  417  -13 53
 16 FF 60369 015000  780 251    0   +13509022    +43      -13194    -41  132  79  187  +37  426  +69 2D
 27 FF 60369 015000  780 683  474   +10066942   +100      -12977   +134  155  87   86   +3  227  +18 64
 32 FF 60369 015000  780 202 1386   +16125873    -28      -13239    -20   79 121  229  +65  465  +74 71
  4 FF 60369 015000  780 298 3371    +6954733    +53      -13202    -36  123 101  161  -35  380  -39 55
  3 FF 60369 015000  780 361 2593    +7760978   +151      -13141    -89  116  87  135   -1  351  +11 4B
  2 FF 60369 015000  780 197 2041   +14767279   +183      -13282   +123  154  14  235  -41  436  -10 74
  8 FF 60369 020600  780 770 2212    +9800897   +261      -12903    -40   96  59   82   -2  223   +4 19
 21 FF 60369 020600  780 310 1851    +8654590    -11      -13210     +3  101  13  155  -18  403  -16 24
 16 FF 60369 020600  780 201   50   +13508937   +109      -13223    +24   93 103  230  +53  496  +76 4A
 27 FF 60369 020600  780 612  356   +10066994    -43      -12982    -12   71  88   91   +6  248  +26 34
 32 FF 60369 020600  780 143 1416   +16125818     +0      -13309    +17   96 124  317 +132  542  +86 60
  4 FF 60369 020600  780 369 3361    +6954736   +100      -13137     +9   77 102  133  -23  343  -35 46
  3 FF 60369 020600  780 359 2496    +7760719   +566      -13202   +333  344  88  136   +1  364  +15 68
  2 FF 60369 020600  780 235 1982   +14767265    +66      -13240     +8  137  40  200  -33  423  -16 3E
  8 FF 60369 022200  780 823 2624    +9800611   +226      -12927    -72   91  59   80   -1  229   +7 1A
 21 FF 60369 022200  780 353 1782    +8654690    -59      -13125    -44  123  13  138  -15  386  -18 63
 16 FF 60369 022200  780 157  101   +13508883   +154      -13195    +71  129 103  292  +76  572  +80 7C
 27 FF 60369 022200  780 535  290   +10066989    +87      -13016   +119  115  88   99  +10  279  +37 70
  4 FF 60369 022200  780 443 3338    +6954714    -22      -13071   -114  127 102  114  -15  313  -27 58
  3 FF 60369 022200  780 352 2402    +7760497   +201      -13171    -32  140  88  138   +3  380  +18 39
  2 FF 60369 022200  780 278 1922   +14767271    +26      -13149    -33  110  40  171  -26  405  -20 49
  8 FF 60369 023800  780 797 3194    +9800301   +326      -12949    +26   77  59   81   +1  238  +11 3A
 21 FF 60369 023800  780 399 1707    +8654712    -78      -13090    -64  119  13  124  -12  368  -18 6D
 27 FF 60369 023800  780 458  251   +10066986     -5      -13049    +25   71  88  111  +15  321  +50 35
 28 FF 60369 023800  780 140  997   +11458524    -98      -13234    +33  114  40  326  +15  614  +19 60
  4 FF 60369 023800  780 517 3299    +6954673    -12      -13022   -106  108 102  102  -10  290  -20 5B
  3 FF 60369 023800  780 341 2311    +7760260   +224      -13183    -10  165  88  142   +4  399  +21 3C
  2 FF 60369 023800  780 325 1862   +14767220    +54      -13142     -6  123  40  148  -20  383  -23 3A
  8 FF 60369 030600  780 665 3481    +9799806   +342      -12962    +40   76  59   87   +5  264  +22 49
 21 FF 60369 030600  780 484 1554    +8654833    +92      -13020   +106  134  13  107   -8  339  -14 53
 27 FF 60369 030600  780 325  222   +10066957    +50      -13103    +82   90  88  148  +31  428  +77 48
  4 FF 60369 030600  780 643 3158    +6954564   +117      -12978    +25   64 102   89   -5  267   -6 40
  3 FF 60369 030600  780 317 2162    +7759833   +228      -13213     -8  144  88  151   +6  437  +22 3B
  2 FF 60369 030600  780 418 1751   +14767252   -113      -13035   -174  170  40  120  -13  344  -22 66
  9 FF 60369 030600  780 215 3197    +8906526    -23      -13123   -150  201  26  217  -58  518  -53 5E
  8 FF 60369 032200  780 584 3538    +9799475   +309      -12979     +9   68  59   94   +8  290  +31 4D
 21 FF 60369 032200  780 530 1445    +8654863    -74      -12979    -58   99  13  100   -5  327   -9 3C
 27 FF 60369 032200  780 253  220   +10066986    -23      -13131     +7  103  88  185  +49  510  +93 41
 31 FF 60369 032200  780 247  959   +12265736   +129      -13121   +129  141  88  190   +4  512  +13 66
  4 FF 60369 032200  780 702 2996    +6954500   +138      -12981    +46   95 102   85   -2  263   -1 2D
  3 FF 60369 032200  780 304 2082    +7759596   +217      -13244    -18  130   6  157   +6  458  +22 39
  2 FF 60369 032200  780 476 1679   +14767225    -89      -13004   -149  168  40  108  -10  324  -19 79
  9 FF 60369 032200  780 274 3154    +8906363    +60      -13134    -69  164  26  173  -34  470  -46 55
  8 FF 60369 033800  780 506 3578    +9799154   +383      -13009    +81   88  59  103  +11  326  +43 65
 21 FF 60369 033800  780 570 1313    +8654941     -1      -12941    +13   51  13   95   -3  320   -4 F1
 27 FF 60369 033800  780 185  225   +10066970   +283      -13175   +312  266  88  248  +87  608 +110 A1
 31 FF 60369 033800  780 238 1038   +12265693   +132      -13140   +134  127  88  197  +10  528  +21 89
  4 FF 60369 033800  780 736 2735    +6954443    -12      -12924   -101  131 102   83   +0  264   +3 2A
  3 FF 60369 033800  780 292 2004    +7759385   +400      -13257   +167  189   6  163   +5  479  +20 58
  2 FF 60369 033800  780 534 1593   +14767189    +29      -12956    -30  119  40   99   -7  308  -14 53
  9 FF 60369 033800  780 330 3098    +8906324   +145      -13076    +17  123  26  147  -21  430  -37 5D
  8 FF 60369 035400  780 430   11    +9798876   +277      -12999    -25   68  59  117  +16  373  +55 54
 21 FF 60369 035400  780 597 1154    +8654968   -157      -12923   -149  144  13   92   -1  318   +1 5C
 17 FF 60369 035400  780 153 2251    +2832544     +1      -13286    +14  277  64  300 -101  590  -44 4D
 31 FF 60369 035400  780 221 1114   +12265687    +51      -13169    +44   62  88  211  +19  554  +31 52
  4 FF 60369 035400  780 730 2431    +6954311    +30      -12963    -66  125 102   83   +1  270   +7 15
  3 FF 60369 035400  780 284 1927    +7759141   +269      -13274    +35  158   6  168   +4  497  +17 56
  2 FF 60369 035400  780 591 1485   +14767168   +134      -12968    +65  102  40   93   -5  296   -9 51
  9 FF 60369 035400  780 381 3027    +8906260    -31      -13016   -158  167  26  129  -14  398  -27 6C
  8 FF 60369 041000  780 359   42    +9798540   +320      -13047    +21   71  60  136  +23  432  +67 1F
 21 FF 60369 041000  780 604  976    +8654986    +65      -12893    +80   96  14   92   +0  322   +7 14
 17 FF 60369 041000  780 202 2302    +2832634   +109      -13208   +123  240  66  230  -51  549  -38 67
 31 FF 60369 041000  780 196 1183   +12265687    +16      -13172    +17   62  91  236  +33  588  +41 5C
  4 FF 60369 041000  780 688 2199    +6954235   +179      -12950    +86  114 103   85   +3  279  +12 5C
  3 FF 60369 041000  780 278 1852    +7758928   +101      -13208   -133  203   7  171   +2  512  +13 3A
  2 FF 60369 041000  780 641 1339   +14767145     -3      -12879    -64   83   4   89   -3  311   -4 F8
  9 FF 60369 041000  780 424 2941    +8906109   +162      -13043    +31   97  27  118   -9  376  -18 41
  8 FF 60369 042600  780 293   73    +9798232   +360      -13090    +58  104  60  163  +33  502  +78 3F
 21 FF 60369 042600  780 588  803    +8654994    -31      -12927    -17   53  14   93   +2  333  +14 21
 17 FF 60369 042600  780 246 2365    +2832679   -130      -13176   -117  188  66  191  -30  516  -30 8D
 31 FF 60369 042600  780 164 1246   +12265608   +129      -13250   +130  127  91  279  +59  633  +51 8E
  7 FF 60369 042600  780 141 3387   +10717795   -373      -13169   -284  337  30  324 -126  740  -82 A8
  4 FF 60369 042600  780 630 2052    +6954120    +80      -12977    -11  142 103   89   +5  294  +18 33
  3 FF 60369 042600  780 275 1778    +7758719   +231      -13216     -4  145   7  172   +0  523   +9 1E
  2 FF 60369 042600  780 675 1144   +14767096    -85      -12897   -145  130   4   86   -1  309   +1 35
  9 FF 60369 042600  780 458 2839    +8906010   +177      -13018    +49  112  27  111   -5  361  -10 48
  8 FF 60369 044200  780 231  107    +9797917   +305      -13089     +2   85  60  202  +50  583  +87 32
 21 FF 60369 044200  780 552  655    +8654989    -11      -12947     +4   71  14   97   +5  351  +23 10
 17 FF 60369 044200  780 282 2438    +2832780    -70      -13062    -56  205  66  169  -18  491  -20 66
 31 FF 60369 044200  780 126 1301   +12265593    +11      -13267    +12   70  91  357 +114  687  +61 5E
  4 FF 60369 044200  780 566 1952    +6954023   +121      -12985    +29   94 103   95   +7  316  +25 43
  3 FF 60369 044200  780 277 1703    +7758476   +245      -13233    +10  127   7  171   -1  530   +4 1C
  2 FF 60369 044200  780 681  912   +14767073   +203      -12862   +143  135   4   86   +0  313   +6 19
  9 FF 60369 044200  780 479 2724    +8905909   +212      -12994    +83  116  27  107   -2  354   -3 4C
  8 FF 60369 045800  780 175  142    +9797619   +383      -13096    +78  112  60  262  +79  671  +94 73
 21 FF 60369 045800  780 502  541    +8654979    +74      -12968    +88  173  14  104   +8  379  +35 59
 17 FF 60369 045800  780 309 2521    +2832769    +62      -13087    +76  191  66  155  -10  475  -11 6C
  7 FF 60369 045800  780 261 3422   +10718064    -55      -13098    +33  155  30  181  -42  584  -76 65
  4 FF 60369 045800  780 502 1878    +6953899   +164      -13022    +73  101 103  104   +9  344  +33 5E
  3 FF 60369 045800  780 281 1628    +7758284   +120      -13173   -114  133   7  169   -3  533   +1 39
  2 FF 60369 045800  780 657  697   +14767000    -45      -12878   -106  111   4   87   +2  322  +12 2B
  9 FF 60369 045800  780 488 2602    +8905870   +157      -12909    +28   78  27  106   +0  354   +2 3D
 19 FF 60369 045800  780 116 2319    +5514005   +286      -13194   +236  327  55  390 -120  681  -33 98
 21 FF 60369 051400  780 442  457    +8654998    +88      -12965   +103   98  14  114  +13  419  +48 64
 17 FF 60369 051400  780 325 2611    +2832904    -42      -12991    -29   93  66  148   -4  468   -1 34
  7 FF 60369 051400  780 328 3432   +10718213   -115      -13007    -24   88  30  147  -28  515  -68 5A
  4 FF 60369 051400  780 440 1816    +6953809   +209      -13048   +112  161 103  115  +13  379  +39 7A
  3 FF 60369 051400  780 289 1551    +7758080    +98      -13177   -141  160   7  165   -4  531   -3 30
  2 FF 60369 051400  780 609  537   +14766889   +189      -12931   +129  134   4   91   +5  338  +21 4C
  9 FF 60369 051400  780 484 2479    +8905646   +187      -13009    +59  118  27  107   +1  358   +7 54
 19 FF 60369 051400  780 149 2378    +5514057    +21      -13062    -31  219  55  307  -61  651  -27 5D
 21 FF 60369 053000  780 377  396    +8654977    +32      -13001    +46   61  14  130  +19  473  +63 38
 17 FF 60369 053000  780 331 2705    +2832925    -23      -12984     -8  236  66  146   +0  470   +6 27
  7 FF 60369 053000  780 399 3436   +10718327   -112      -12978    -24   85  30  124  -19  454  -57 6F
  4 FF 60369 053000  780 381 1760    +6953665     +3      -13079    -89  129 103  129  +16  421  +45 52
  3 FF 60369 053000  780 299 1472    +7757808   +325      -13223    +86  176   7  160   -5  527   -5 39
  2 FF 60369 053000  780 548  429   +14766844    +71      -12917    +10   82   4   97   +8  363  +32 0D
  9 FF 60369 053000  780 470 2362    +8905523   +195      -12981    +68  101  27  109   +3  368  +12 4E
 19 FF 60369 053000  780 176 2443    +5514000   -232      -13094   -286  341  55  263  -34  629  -19 82
 21 FF 60369 054600  780 311  354    +8654941    +54      -13024    +69   85  14  154  +30  541  +79 3A
 17 FF 60369 054600  780 326 2799    +2832969    -86      -12951    -74  150  66  148   +3  480  +14 6D
  7 FF 60369 054600  780 474 3431   +10718418   -146      -12946    -58   74  30  108  -13  404  -45 67
  4 FF 60369 054600  780 327 1707    +6953485    +54      -13144    -36   84 103  147  +21  466  +48 59
  3 FF 60369 054600  780 310 1390    +7757675   +228      -13132     -5   86   7  155   -5  521   -7 0B
  2 FF 60369 054600  780 481  358   +14766738    +46      -12939    -14   74   4  107  +12  400  +44 2E
  9 FF 60369 054600  780 448 2255    +8905381    +57      -12997    -72  105  27  113   +5  382  +16 4F
 19 FF 60369 054600  780 195 2515    +5514053   +368      -12990   +315  500  55  238  -18  614  -10 87
 21 FF 60369 060200  780 245  324    +8654940    +13      -13062    +28   68 116  191  +49  625  +95 4D
 30 FF 60369 060200  780 244 3304   +14249942   -183      -12951   -233  280 110  193  -50  588  -84 A6
 17 FF 60369 060200  780 314 2890    +2833018    +76      -12915    +90  124  68  153   +7  498  +21 50
  6 FF 60369 060200  780 136 2127    +6106484   -244      -13228    -89  199  28  336 -155  725  -84 89
  7 FF 60369 060200  780 552 3416   +10718554   -113      -12921    -24   65 121   97   -9  366  -33 4E
  4 FF 60369 060200  780 277 1655    +6953368    +52      -13170    -39  122 104  171  +27  514  +50 58
  3 FF 60369 060200  780 321 1305    +7757410   +105      -13141   -129  137  68  150   -4  514   -7 36
  2 FF 60369 060200  780 412  311   +14766652    +32      -12964    -27   54  15  121  +17  449  +58 31
  9 FF 60369 060200  780 422 2157    +8905215    +14      -13040   -117  158  28  119   +6  399  +19 4D
 19 FF 60369 060200  780 207 2590    +5514082   +229      -12913   +176  262  62  225   -8  608   -1 5C
 30 FF 60369 061800  780 311 3287   +14249880   +184      -12963   +131  160 110  155  -31  513  -71 9A
 17 FF 60369 061800  780 296 2976    +2833006    +53      -12915    +68  131  68  161  +10  521  +27 62
  6 FF 60369 061800  780 199 2141    +6106655   -123      -13233    +31  197  28  234  -73  646  -80 66
  7 FF 60369 061800  780 633 3384   +10718654   -192      -12905   -103  125 121   89   -6  339  -22 7A
  4 FF 60369 061800  780 232 1603    +6953298    +83      -13177     -9  135 104  202  +35  562  +50 4A
  3 FF 60369 061800  780 331 1217    +7757229   +315      -13123    +78   80  68  146   -3  507   -5 2D
  2 FF 60369 061800  780 342  280   +14766549   +113      -13037    +55   68  15  141  +26  513  +73 47
  9 FF 60369 061800  780 393 2067    +8905114    +52      -13017    -79  123  28  126   +7  419  +21 3F
 19 FF 60369 061800  780 211 2668    +5514073    +18      -12844    -34  258  62  220   -1  610   +5 32
 30 FF 60369 063400  780 379 3258   +14249904    -21      -12890    -73  112 110  130  -20  450  -58 78
 17 FF 60369 063400  780 274 3057    +2832971     +8      -12975     -2  145  68  173  +13  550  +31 41
  6 FF 60369 063400  780 263 2167    +6106895    -82      -13115    +72  162  28  180  -41  573  -71 54
  7 FF 60369 063400  780 714 3316   +10718733   -203      -12885   -114  126 121   84   -4  323  -12 65
  4 FF 60369 063400  780 192 1550    +6953144   +147      -13270    +55  117 104  241  +46  609  +47 6B
  3 FF 60369 063400  780 338 1125    +7757013   +283      -13142    +49   63  68  143   -1  503   -2 1F
  2 FF 60369 063400  780 274  263   +14766465    +53      -13037     -5   55  15  172  +40  590  +87 2D
  9 FF 60369 063400  780 365 1984    +8904931   +155      -13104    +26  145  28  134   +8  440  +22 4F
 19 FF 60369 063400  780 210 2747    +5514099    -48      -12793   -100  277  62  222   +4  619  +13 63
 30 FF 60369 065000  780 447 3214   +14249821    +77      -12925    +26   89 110  113  -14  400  -45 64
 14 FF 60369 065000  780 126 3434    +6605079    +70      -13068    -28  129 187  360 -106  778  -70 91
 17 FF 60369 065000  780 250 3134    +2832965    +67      -12994    +80  226  11  188  +17  582  +34 68
  6 FF 60369 065000  780 325 2206    +6107087   -262      -13075   -105  138  28  148  -25  510  -59 6F
  7 FF 60369 065000  780 790 3140   +10718815    -80      -12914     +8   62 121   81   -1  314   -5 0A
  4 FF 60369 065000  780 157 1494    +6953041   +188      -13257    +96  143 104  292  +61  653  +43 79
  3 FF 60369 065000  780 339 1031    +7756797   +214      -13105    -19   66  68  143   +0  503   +2 22
  2 FF 60369 065000  780 209  255   +14766370   +185      -13100   +126  134  15  222  +67  680 +100 69
  9 FF 60369 065000  780 338 1906    +8904749   +235      -13160   +105  125  28  143  +10  461  +21 66
 19 FF 60369 065000  780 202 2825    +5514014    -86      -12826   -140  236  62  229  +10  634  +18 66
 30 FF 60369 070600  780 513 3149   +14249769    +37      -12900    -16  105 110  102   -9  362  -33 63
 14 FF 60369 070600  780 167 3482    +6605050   +137      -13028    +38  101 187  276  -70  708  -74 88
 17 FF 60369 070600  780 226 3206    +2832975    +69      -12997    +83  196  11  206  +20  653  +36 6E
  6 FF 60369 070600  780 384 2262    +6107168     -6      -13143   +149  194  28  128  -16  460  -45 55
  7 FF 60369 070600  780 831 2599   +10718882    -74      -12932    +12   81 121   80   +0  311   +0 1E
  4 FF 60369 070600  780 126 1437    +6952908   +175      -13304    +86  122 104  359  +79  692  +38 84
  3 FF 60369 070600  780 335  936    +7756572   +223      -13103    -12   50  68  144   +3  508   +8 13
  9 FF 60369 070600  780 314 1831    +8904628    +72      -13131    -55  123  28  153  +10  481  +19 46
 19 FF 60369 070600  780 191 2901    +5513897    -39      -12892    -93  264  62  242  +15  654  +22 72
 30 FF 60369 072200  780 573 3055   +14249668    +66      -12953    +16   67   0   95   -6  358  -24 3B
 14 FF 60369 072200  780 212 3528    +6604971   +178      -12986    +79  217 187  220  -48  637  -74 A2
  6 FF 60369 072200  780 438 2338    +6107444   -153      -13017     +1   89  28  115  -10  421  -33 2D
  7 FF 60369 072200  780 786 2085   +10718928   +106      -12973   +197  176 121   81   +1  311   +3 63
  9 FF 60369 072200  780 293 1758    +8904504    +53      -13129    -76  126  28  163  +10  498  +16 5D
 19 FF 60369 072200  780 178 2976    +5513755   +280      -12982   +226  281  62  259  +19  677  +24 A4
 22 FF 60369 073800  780 119 3423    +9751697   -147      -13022    -87  170  60  381 -139  788  -88 A9
 30 FF 60369 073800  780 623 2920   +14249658    +33      -12914    -16   86   0   90   -3  339  -14 2D
 14 FF 60369 073800  780 263 3574    +6604868   +259      -12994   +162  173 187  180  -35  566  -71 BD
  6 FF 60369 073800  780 481 2436    +6107610   -116      -13027    +39   99  28  107   -6  395  -22 46
  7 FF 60369 073800  780 710 1913   +10719037    -71      -12949    +16   74 121   84   +4  317   +9 2F
 11 FF 60369 073800  780 167 2240   +15902394    -69      -13217    +55  221  29  275  -85  648  -69 8B
  9 FF 60369 073800  780 275 1686    +8904359   +185      -13177    +55  141  28  172   +9  513  +12 65
 19 FF 60369 073800  780 164 3048    +5513632     +7      -13028    -47  268  62  280  +23  701  +24 4D
 22 FF 60369 075400  780 165 3461    +9751804    -77      -12979     -8  106  60  279  -82  703  -87 73
 30 FF 60369 075400  780 654 2741   +14249578    +80      -12971    +30   82   0   88   -1  329   -7 22
 14 FF 60369 075400  780 319   19    +6604756   +155      -13038    +57   88 187  151  -25  500  -65 5D
 17 FF 60369 075400  780 169 3408    +2832966    +22      -13039    +25  250  11  272  +21  739  +19 61
  6 FF 60369 075400  780 511 2555    +6107761   -153      -13006    +13  113  28  103   -2  378  -11 37
  7 FF 60369 075400  780 631 1832   +10719106    -92      -12969     +3   67 121   89   +6  330  +17 30
 11 FF 60369 075400  780 217 2288   +15902573    -14      -13157   +111  197  29  215  -46  586  -59 95
  9 FF 60369 075400  780 261 1614    +8904220   +210      -13191    +81  128  28  180   +7  523   +8 30
 22 FF 60369 081000  780 216 3497    +9751953   -138      -12887    -77  139  61  216  -52  620  -84 8F
 30 FF 60369 081000  780 659 2535   +14249546    +62      -12928    +11   73   1   87   +1  324   -1 10
 14 FF 60369 081000  780 379   66    +6604650   +162      -13049    +64   79 188  130  -18  441  -57 5A
 17 FF 60369 081000  780 158 3472    +2832967    -17      -13053     -3  100  12  290  +16  753   +9 34
  6 FF 60369 081000  780 522 2690    +6107904   -215      -12984    -60  146  29  101   +0  371   -2 2C
  7 FF 60369 081000  780 553 1778   +10719157   -112      -13002    -24  118 122   97   +9  352  +26 58
 11 FF 60369 081000  780 262 2347   +15902738   -398      -13109   -275  275  30  181  -27  535  -47 A3
  9 FF 60369 081000  780 251 1543    +8904106    +68      -13158    -58  125  30  187   +6  529   +4 2E
 19 FF 60369 081000  780 139 3188    +5513526    -52      -13061   -105  295  95  328  +24  741  +15 75
 22 FF 60369 082600  780 273 3530    +9751899   +112      -12998   +172  177  61  174  -35  542  -77 A4
 20 FF 60369 082600  780 147 2116    +6129590   +157      -13228   +171  235 181  313 -130  656  -86 A7
 30 FF 60369 082600  780 640 2340   +14249494    +85      -12955    +31   95   1   89   +2  325   +3 18
 14 FF 60369 082600  780 443  117    +6604569   +108      -13008     +9   69 188  114  -13  390  -47 57
 17 FF 60369 082600  780 151 3536    +2832967     -2      -13067    +11   71  12  302   +7  757   -2 11
  6 FF 60369 082600  780 516 2827    +6108088    -55      -13003   +101  117  29  102   +2  372   +5 2A
  7 FF 60369 082600  780 478 1735   +10719159    +28      -13086   +115  177 122  108  +12  382  +35 8A
 11 FF 60369 082600  780 300 2418   +15902904   -206      -13035    -83  180  30  160  -16  495  -35 74
  9 FF 60369 082600  780 244 1470    +8903967    -90      -13197   -221  241  30  193   +4  532   +1 3D
 22 FF 60369 084200  780 334 3562    +9751995    -16      -12986    +42   86  61  145  -25  472  -68 6E
 20 FF 60369 084200  780 209 2112    +6129699   -133      -13104   -120  208 181  223  -66  574  -81 8D
 30 FF 60369 084200  780 601 2183   +14249430    +80      -12971    +28  117   1   92   +4  331   +9 17
 14 FF 60369 084200  780 509  178    +6604493   +120      -12988    +20   59 188  103  -10  349  -37 6B
 17 FF 60369 084200  780 150 3599    +2832974     -4      -13072     +7   91  12  305   -1  750  -13 14
  6 FF 60369 084200  780 493 2954    +6108225   -155      -12988     +1  114  29  105   +4  381  +13 3C
  7 FF 60369 084200  780 407 1695   +10719207     +0      -13122    +87  124 122  122  +17  420  +43 45
 11 FF 60369 084200  780 329 2500   +15903019   -225      -13037   -102  149  30  147   -9  466  -24 76
  9 FF 60369 084200  780 239 1396    +8903856    +26      -13159   -101  125  30  196   +2  531   -2 3F
 19 FF 60369 084200  780 125 3323    +5513443    -19      -13041    -72  290  95  362   +8  754   -3 3C
