CGGTTS  GENERIC DATA FORMAT VERSION = 2E
REV DATE = 2021-08-06
RCVR = ZED-F9T  ubx_s2 Ver. 2024-01-22
CH = 184
IMS = 99999
LAB = BBPPT
X = -1841427.00 m
Y =  6065411.00 m
Z =  -706844.00 m
FRAME = ITRF
COMMENTS =  Ext 1PPS OK
INT DLY =    0.0 ns
CAB DLY =  400.0 ns
REF DLY =    0.0 ns
REF = EXTERNAL
CKSUM = 32
SAT CL  MJD  STTIME TRKL ELV AZTH   REFSV      SRSV     REFSYS    SRSYS  DSG IOE MDTR SMDT MDIO SMDI FR HC FRC CK     TM2      STM2   MSEC    CLKB rcvTow   VLOS   ResPR      SRPR 
E10 FF 60377 001400  780 204 2146 +2147483647   -236 +2147483647   -268   33   0  222   -6  272  +21  0  0 *E1 9F -4375139403   +394   +83 +387383    993    562          +0     +0
E12 FF 60377 001400  780 275 1894 +2147483647    +73 +2147483647   -101   18   0  168   -3  250  +19  0  0 *E1 9D -4375139403   +394   +81 +387383    993    290        +619   -293
E14 FF 60377 001400  780 552  790 +2147483647   -485 +2147483647    -18   31 432   95   +1  174  +14  0  0 *E1 A6 -4375139403   +394    -7 +387383    993   2714          +0     +0
E19 FF 60377 001400  780 468 1020 +2147483647   -815 +2147483647    -93   40 432  107   +1  195  +15  0  0 *E1 C2 -4375139403   +394    -7 +387383    993   -508          +0     +0
E24 FF 60377 001400  780 347 2540 +2147483647   +284 +2147483647    +73   28 432  137   -3  212  +14  0  0 *E1 BE -4375139403   +394    -7 +387383    993  15583          +0     +0
E31 FF 60377 001400  780 494 3252 +2147483647   -192 +2147483647   -204   40 431  103   +8  178  +26  0  0 *E1 D1 -4375139403   +394    -7 +387383    993  -3089          +0     +0
E33 FF 60377 001400  780 191 1316 +2147483647    -12 +2147483647     -9   28 432  236   +0  333  +26  0  0 *E1 95 -4375139403   +394    -7 +387383    993  27304          +0     +0
C01 FF 60377 001400  780 462  842 +2147483647    -63 +2147483647    -49   32   0  108   +0  202  +14  0  0 B1i A0 -4375139403   +394    -7 +387383    993    161          +0     +0
C02 FF 60377 001400  780 620 2853 +2147483647   -390 +2147483647    -53   32   0   88   +0  156  +11  0  0 B1i BB -4375139403   +394    -7 +387383    993    169        -526   -342
C03 FF 60377 001400  780 824  320 +2147483647   -398 +2147483647    -49   32   0   79   +0  146  +10  0  0 B1i B0 -4375139403   +394    -7 +387383    993     -1        -756   -346
C04 FF 60377 001400  780 292  872 +2147483647   +316 +2147483647    -40   32   0  160   +0  283  +18  0  0 B1i B8 -4375139403   +394    -7 +387383    993    167        +453   -354
C05 FF 60377 001400  780 341 2765 +2147483647   +578 +2147483647    -51   29   0  139   +0  219  +17  0  0 B1i DD -4375139403   +394    -7 +387383    993    232        +264   -345
C06 FF 60377 001400  780 241   76 +2147483647   -373 +2147483647   -118   30   0  190  -10  302  +13  0  0 B1i C2 -4375139403   +394    -7 +387383    993  11332        +383   -276
C07 FF 60377 001400  780 842  259 +2147483647   +598 +2147483647    -14   28   0   79   +0  146  +11  0  0 B1i BD -4375139403   +394    -7 +387383    993   -292        -765   -380
C08 FF 60377 001400  780 430 2006 +2147483647   +234 +2147483647    -77   43   0  114   +7  194  +24  0  0 B1i CC -4375139403   +394    -7 +387383    993 -22796        +171   -318
C09 FF 60377 001400  780 205 3537 +2147483647   +552 +2147483647    +47   22   0  221   -7  319  +20  0  0 B1i CE -4375139403   +394    -7 +387383    993   1925        +526   -441
C10 FF 60377 001400  780 816 2330 +2147483647   +115 +2147483647    -35   36   0   79   +0  145  +10  0  0 B1i B1 -4375139403   +394    -7 +387383    993   -109        -686   -360
C13 FF 60377 001400  780 462 2218 +2147483647   -203 +2147483647   -188   24   0  108   +6  183  +22  0  0 B1i E0 -4375139403   +394    -7 +387383    993 -22201         +89   -206
C16 FF 60377 001400  780 242  143 +2147483647   +255 +2147483647    +37   33   0  189  -12  305  +10  0  0 B1i C7 -4375139403   +394    -7 +387383    993  14804        +411   -432
C23 FF 60377 001400  780 189    7 +2147483647   -148 +2147483647   -136   21   0  238  +31  336  +48  0  0 B1i C9 -4375139403   +394    -7 +387383    993  -9863        +671   -255
J02 FF 60377 001400  780 322  334 +2147483647   -215 +2147483647    -93   29  29  146   +4  257  +23  0  0 L1C C2 -4375139403   +394    -7 +387383    993  -2057         -83   -310
J03 FF 60377 001400  780 351 1155 +2147483647    +78 +2147483647    -28   35  29  135   -2  239  +13  0  0 L1C C4 -4375139403   +394    -7 +387383    993  14510        +121   -375
J04 FF 60377 001400  780 711 1197 +2147483647     -6 +2147483647    -86   29  29   83   +1  149  +11  0  0 L1C A8 -4375139403   +394    -7 +387383    993   1781          +0     +0
J07 FF 60377 001400  780 653  729 +2147483647    -29 +2147483647    -28   30  29   86   +0  156  +11  0  0 L1C A9 -4375139403   +394    -7 +387383    993      5          +0     +0
R01 FF 60377 001400  780 656 3464 +2147483647    +97 +2147483647   +106   37   2   86   -7  148   +0  1  0 L1C B2 -4375139403   +394    -7 +387383    993      0       -1517   -416
R08 FF 60377 001400  780 506 1460 +2147483647   -256 +2147483647   -256   32   2  101  +12  173  +30  6  0 L1C E3 -4375139403   +394    -7 +387383    993      0       -1002    -54
R12 FF 60377 001400  780 191 3348 +2147483647   -181 +2147483647   -171   31   2  237  +55  300  +57 -1  0 L1C F7 -4375139403   +394    -7 +387383    993      0        -211   -133
R22 FF 60377 001400  780 224 1141 +2147483647    +13 +2147483647    +32   37   2  204   -9  308  +16 -3  0 L1C B2 -4375139403   +394    -7 +387383    993      0         +18   -342
R23 FF 60377 001400  780 227 1698 +2147483647    +96 +2147483647    +87   26   2  201  -31  274   +4  3  0 L1C C4 -4375139403   +394    -7 +387383    993      0        +269   -398
G03 FF 60377 003000  780 315 2875 +2147483647   -110 +2147483647   +125   14  12  149  -12  244   +4  0  0 L1C D1 -4375139306     -6    -7 +479246    993   7053        -105   -105
G08 FF 60377 003000  780 467 2004 +2147483647    -24 +2147483647   +246   10  48  107  -14  194   -7  0  0 L1C D0 -4375139306     -6    -7 +479246    993   5230        -361   -229
G16 FF 60377 003000  780 424 3436 +2147483647   -202 +2147483647   -161   21  36  116  +15  215  +39  0  0 L1C E9 -4375139306     -6    -7 +479246    993 -28003        -605   +184
G21 FF 60377 003000  780 187 2115 +2147483647   +112 +2147483647    +71   13 103  240  -28  302  +13  0  0 L1C D5 -4375139306     -6    -7 +479246    993   3248        +671    -58
G26 FF 60377 003000  780 199  118 +2147483647    -25 +2147483647    -93   37  43  228  +57  352  +69  0  0 L1C D8 -4375139306     -6    -7 +479246    993 -13599        +116   +117
G27 FF 60377 003000  780 732 1311 +2147483647   +157 +2147483647   +107   10  79   82   -2  158   +8  0  0 L1C BF -4375139306     -6    -7 +479246    993  16445       -1026    -83
G31 FF 60377 003000  780 153  303 +2147483647    +75 +2147483647    +69   12   0  292  -17  406  +18  0  0 L1C A5 -4375139306     -6   +74 +479246    993  25065        +382    -52
G32 FF 60377 003000  780 358 1217 +2147483647   -117 +2147483647   -155   12 104  133  +14  250  +35  0  0 L1C F5 -4375139306     -6    -7 +479246    993  -3286         -42   +183
E04 FF 60377 003000  780 523   79 +2147483647   +248 +2147483647   +159   20 432   99   -9  189   -4  0  0 *E1 A3 -4375139306     -6    -7 +479246    993  23290          +0     +0
E10 FF 60377 003000  780 211 2089 +2147483647   +134 +2147483647   +104   24 432  215   -9  291  +18  0  0 *E1 C4 -4375139306     -6    -7 +479246    993    931          +0     +0
E12 FF 60377 003000  780 282 1835 +2147483647   +194 +2147483647    +23   18 432  164   -5  266  +16  0  0 *E1 C4 -4375139306     -6    -7 +479246    993    813        +465   -181
E14 FF 60377 003000  780 539  700 +2147483647   -441 +2147483647     +1   15 432   97   +2  188  +16  0  0 *E1 8A -4375139306     -6    -7 +479246    993   2722          +0     +0
E19 FF 60377 003000  780 455 1114 +2147483647   -775 +2147483647    -57   14 432  109   +4  211  +19  0  0 *E1 C4 -4375139306     -6    -7 +479246    993  -1255          +0     +0
E24 FF 60377 003000  780 353 2618 +2147483647   +241 +2147483647    +29   19 432  135   -1  226  +16  0  0 *E1 BC -4375139306     -6    -7 +479246    993  10430          +0     +0
E31 FF 60377 003000  780 445 3313 +2147483647   -120 +2147483647   -129   29 432  111  +10  206  +31  0  0 *E1 CA -4375139306     -6    -7 +479246    993  -3415          +0     +0
E33 FF 60377 003000  780 193 1255 +2147483647    +65 +2147483647    +70   21 432  234   -3  357  +23  0  0 *E1 A8 -4375139306     -6    -7 +479246    993  26849          +0     +0
C01 FF 60377 003000  780 462  843 +2147483647     -1 +2147483647    +13   11   0  108   +0  215  +13  0  0 B1i 7C -4375139306     -6    -7 +479246    993    165          +0     +0
C02 FF 60377 003000  780 621 2850 +2147483647   -333 +2147483647     +4   10   0   88   +0  167  +11  0  0 B1i 9C -4375139306     -6    -7 +479246    993    155        -607     +1
C03 FF 60377 003000  780 825  324 +2147483647   -329 +2147483647    +20   11   0   79   +0  156  +10  0  0 B1i 9E -4375139306     -6    -7 +479246    993     10        -846    -15
C04 FF 60377 003000  780 292  872 +2147483647   +380 +2147483647    +24   11   0  160   +0  301  +18  0  0 B1i AB -4375139306     -6    -7 +479246    993    163        +359    -18
C05 FF 60377 003000  780 342 2764 +2147483647   +641 +2147483647    +12   13   0  139   +0  236  +17  0  0 B1i C5 -4375139306     -6    -7 +479246    993    226        +179     -6
C06 FF 60377 003000  780 256   93 +2147483647    -82 +2147483647   +173   11   0  180  -11  313   +9  0  0 B1i A7 -4375139306     -6    -7 +479246    993  13574        +285   -168
C07 FF 60377 003000  780 812   58 +2147483647   +631 +2147483647    +20   11   0   79   +1  156  +11  0  0 B1i 8E -4375139306     -6    -7 +479246    993   -546        -853    -14
C08 FF 60377 003000  780 401 1986 +2147483647   +163 +2147483647   -147   10   0  121   +7  217  +25  0  0 B1i DC -4375139306     -6    -7 +479246    993  -2295        +208   +153
C09 FF 60377 003000  780 213 3553 +2147483647   +550 +2147483647    +43   33   0  213   -9  336  +16  0  0 B1i CC -4375139306     -6    -7 +479246    993   4632        +423    -37
C10 FF 60377 003000  780 815 2591 +2147483647   +146 +2147483647     -2    9   0   79   +0  155  +11  0  0 B1i 97 -4375139306     -6    -7 +479246    993   -356        -801     +9
C13 FF 60377 003000  780 433 2187 +2147483647    -61 +2147483647    -46   17   0  114   +6  205  +23  0  0 B1i B7 -4375139306     -6    -7 +479246    993 -22602         +77    +53
C16 FF 60377 003000  780 260  160 +2147483647   +229 +2147483647    +11   14   0  177  -12  313   +7  0  0 B1i AE -4375139306     -6    -7 +479246    993  16680        +276     -6
C23 FF 60377 003000  780 167   61 +2147483647    -43 +2147483647    -30   32   0  268  +31  382  +47  0  0 B1i AB -4375139306     -6    -7 +479246    993  -3285        +626    +38
J02 FF 60377 003000  780 311  324 +2147483647   -133 +2147483647     -5   10  29  150   +5  279  +23  0  0 L1C 9B -4375139306     -6    -7 +479246    993  -1906        -141    +27
J03 FF 60377 003000  780 359 1121 +2147483647   +115 +2147483647    +20    7  29  133   -3  251  +12  0  0 L1C A8 -4375139306     -6    -7 +479246    993  13742         -15     +1
J04 FF 60377 003000  780 699 1272 +2147483647    +55 +2147483647    -36   10  29   83   +1  160  +11  0  0 L1C AB -4375139306     -6    -7 +479246    993   1542          +0     +0
J07 FF 60377 003000  780 653  729 +2147483647    +20 +2147483647    +21   11  29   86   +0  167  +11  0  0 L1C 94 -4375139306     -6    -7 +479246    993      5          +0     +0
R01 FF 60377 003000  780 750 3356 +2147483647   +118 +2147483647   +128   22   2   81   -4  150   +5  1  0 L1C A9 -4375139306     -6    -7 +479246    993      0       -1492    +90
R08 FF 60377 003000  780 427 1526 +2147483647   -309 +2147483647   -312   23   2  115  +18  207  +41  6  0 L1C E9 -4375139306     -6    -7 +479246    993      0        -614   +531
R12 FF 60377 003000  780 150 3412 +2147483647   -145 +2147483647   -241   40   2  300  +74  357  +62 -1  0 L1C E6 -4375139306     -6    -7 +479246    993      0        +121   +524
R22 FF 60377 003000  780 232 1047 +2147483647    +89 +2147483647   +106   15   2  197   -5  324  +17 -3  0 L1C D5 -4375139306     -6    -7 +479246    993      0         +63   +112
R23 FF 60377 003000  780 265 1621 +2147483647   +227 +2147483647   +202   26   2  174  -25  275   -1  3  0 L1C D3 -4375139306     -6    -7 +479246    993      0        +237     -2
G03 FF 60377 004600  780 338 2787 +2147483647   -194 +2147483647    +43   17  12  140   -7  249   +7  0  0 L1C D0 -4375139547    -25    -7 +571556    994   1404         +88    -20
G04 FF 60377 004600  780 168 3369 +2147483647   +128 +2147483647   +217   22   0  268  -95  373  -27  0  0 L1C FA -4375139547    -25   +74 +571556    994   6628        +495   -198
G08 FF 60377 004600  780 543 2009 +2147483647    -35 +2147483647   +231   21  48   96  -10  188   -5  0  0 L1C C9 -4375139547    -25    -7 +571556    994  23790        -342   -205
G16 FF 60377 004600  780 362 3495 +2147483647   -197 +2147483647   -157   23  36  132  +20  257  +48  0  0 L1C 0A -4375139547    -25    -7 +571556    994 -28165        -182   +186
G21 FF 60377 004600  780 212 2050 +2147483647   +167 +2147483647   +114   23 103  214  -27  312   +8  0  0 L1C DD -4375139547    -25    -7 +571556    994   3576        +797    -92
G26 FF 60377 004600  780 151  161 +2147483647    -52 +2147483647   -117    9  43  295  +81  421  +75  0  0 L1C C8 -4375139547    -25    -7 +571556    994  -6690        +547   +148
G27 FF 60377 004600  780 758  996 +2147483647   +118 +2147483647    +63    8  79   81   +0  166  +10  0  0 L1C B8 -4375139547    -25    -7 +571556    994   8933        -862    -32
G31 FF 60377 004600  780 164  371 +2147483647    +86 +2147483647    +85   21   8  273  -20  421  +12  0  0 L1C AB -4375139547    -25    -7 +571556    994  27768        +560    -67
G32 FF 60377 004600  780 311 1288 +2147483647   -158 +2147483647   -198    8 104  151  +23  288  +45  0  0 L1C 06 -4375139547    -25    -7 +571556    994  -4247        +399   +230
E04 FF 60377 004600  780 587  108 +2147483647   +232 +2147483647   +143   30 433   91   -7  186   -2  0  0 *E1 A2 -4375139547    -25    -7 +571556    994  19719          +0     +0
E09 FF 60377 004600  780 157 3356 +2147483647   +236 +2147483647   +100   26   0  284  -83  380  -17  0  0 *E1 CA -4375139547    -25   +85 +571556    994   5268        +308    +65
E10 FF 60377 004600  780 223 2034 +2147483647   +103 +2147483647    +74   38 433  204  -12  307  +15  0  0 *E1 BF -4375139547    -25    -7 +571556    994   1319          +0     +0
E12 FF 60377 004600  780 293 1776 +2147483647   +218 +2147483647    +48   17 433  159   -7  280  +12  0  0 *E1 D3 -4375139547    -25    -7 +571556    994   7156        +486    -24
E14 FF 60377 004600  780 517  617 +2147483647   -360 +2147483647    +47   13 433   99   +4  206  +20  0  0 *E1 A3 -4375139547    -25    -7 +571556    994   2646          +0     +0
E19 FF 60377 004600  780 432 1199 +2147483647   -825 +2147483647   -103   11 433  114   +6  231  +24  0  0 *E1 D1 -4375139547    -25    -7 +571556    994  -1998          +0     +0
E24 FF 60377 004600  780 351 2697 +2147483647   +212 +2147483647     -2   18 433  136   +2  243  +19  0  0 *E1 B1 -4375139547    -25    -7 +571556    994   4526          +0     +0
E31 FF 60377 004600  780 397 3366 +2147483647   -112 +2147483647   -123   20 433  122  +13  238  +36  0  0 *E1 E1 -4375139547    -25    -7 +571556    994  -3614          +0     +0
E33 FF 60377 004600  780 196 1193 +2147483647    +63 +2147483647    +68   17 433  231   -4  378  +21  0  0 *E1 BD -4375139547    -25    -7 +571556    994  24909          +0     +0
C01 FF 60377 004600  780 462  843 +2147483647     -5 +2147483647     +9    7   0  108   +0  227  +13  0  0 B1i 74 -4375139547    -25    -7 +571556    994    169          +0     +0
C02 FF 60377 004600  780 621 2846 +2147483647   -324 +2147483647    +13    7   0   88   +0  178  +11  0  0 B1i B0 -4375139547    -25    -7 +571556    994    143        -374    +11
C03 FF 60377 004600  780 826  329 +2147483647   -335 +2147483647    +14    6   0   79   +0  166  +10  0  0 B1i A0 -4375139547    -25    -7 +571556    994     21        -616    +11
C04 FF 60377 004600  780 292  872 +2147483647   +385 +2147483647    +29    5   0  160   +0  318  +17  0  0 B1i B6 -4375139547    -25    -7 +571556    994    158        +580     -3
C05 FF 60377 004600  780 342 2762 +2147483647   +650 +2147483647    +20    5   0  139   +0  252  +17  0  0 B1i B8 -4375139547    -25    -7 +571556    994    219        +407     +4
C06 FF 60377 004600  780 273  109 +2147483647   -241 +2147483647    +13   13   0  169  -11  320   +6  0  0 B1i B5 -4375139547    -25    -7 +571556    994  15579        +429    +11
C07 FF 60377 004600  780 777 3565 +2147483647   +591 +2147483647    -20   12   0   80   +1  167  +12  0  0 B1i C8 -4375139547    -25    -7 +571556    994   -796        -586    +46
C08 FF 60377 004600  780 374 1965 +2147483647   +218 +2147483647    -92   11   0  128   +8  242  +26  0  0 B1i E1 -4375139547    -25    -7 +571556    994  -2162        +541   +118
C09 FF 60377 004600  780 224 3569 +2147483647   +549 +2147483647    +41   13   0  204  -11  350  +12  0  0 B1i E1 -4375139547    -25    -7 +571556    994   7274        +544    -17
C10 FF 60377 004600  780 798 2807 +2147483647   +133 +2147483647    -15   11   0   79   +1  165  +11  0  0 B1i C3 -4375139547    -25    -7 +571556    994   -606        -580    +40
C13 FF 60377 004600  780 406 2157 +2147483647    -62 +2147483647    -47    7   0  120   +7  227  +24  0  0 B1i AF -4375139547    -25    -7 +571556    994  -8841        +428    +74
C16 FF 60377 004600  780 280  177 +2147483647   +320 +2147483647   +101    7   0  166  -12  318   +4  0  0 B1i B9 -4375139547    -25    -7 +571556    994  18262        +436    -76
C23 FF 60377 004600  780 150  113 +2147483647    +81 +2147483647    +93   13   0  298  +30  426  +46  0  0 B1i BE -4375139547    -25    -7 +571556    994   3491        +913    -61
J02 FF 60377 004600  780 302  316 +2147483647   -138 +2147483647     -7    9  33  155   +5  302  +24  0  0 L1C 96 -4375139547    -25    -7 +571556    994  -1734        +109    +33
J03 FF 60377 004600  780 367 1087 +2147483647   +151 +2147483647    +65   12  33  130   -3  262  +11  0  0 L1C C7 -4375139547    -25    -7 +571556    994  12692        +183    -39
J04 FF 60377 004600  780 684 1334 +2147483647    +48 +2147483647    -54    7  33   84   +1  171  +12  0  0 L1C A2 -4375139547    -25    -7 +571556    994   1300          +0     +0
J07 FF 60377 004600  780 653  729 +2147483647    +12 +2147483647    +13    6  33   86   +0  177  +10  0  0 L1C 8C -4375139547    -25    -7 +571556    994     -4          +0     +0
R01 FF 60377 004600  780 825 2972 +2147483647    -14 +2147483647     -5   11   4   79   -1  157   +8  1  0 L1C 8D -4375139547    -25    -7 +571556    994      0       -1204    +31
R08 FF 60377 004600  780 345 1564 +2147483647   -285 +2147483647   -285   10   4  138  +29  253  +54  6  0 L1C 07 -4375139547    -25    -7 +571556    994      0         -27   +312
R22 FF 60377 004600  780 236  951 +2147483647    +17 +2147483647    +36   16   4  194   +0  342  +21 -3  0 L1C B0 -4375139547    -25    -7 +571556    994      0        +313     -9
R23 FF 60377 004600  780 308 1539 +2147483647   +179 +2147483647   +170   15   4  152  -20  272   -5  3  0 L1C E2 -4375139547    -25    -7 +571556    994      0        +352   -146
G02 FF 60377 010200  780 167 2103 +2147483647     -9 +2147483647     +7   39   3  268  -49  356   +6  0  0 L1C 94 -4375139558    +63    -7 +661310    994   3540       +1004    -75
G03 FF 60377 010200  780 353 2693 +2147483647   -188 +2147483647    +52   23  36  135   -4  257  +10  0  0 L1C D2 -4375139558    +63    -7 +661310    994    683         +69   -117
G04 FF 60377 010200  780 233 3375 +2147483647   +250 +2147483647   +338   37 206  197  -56  346  -30  0  0 L1C 0F -4375139558    +63    -7 +661310    994   6535        +257   -406
G08 FF 60377 010200  780 622 2031 +2147483647    -43 +2147483647   +219   32  57   88   -7  185   -1  0  0 L1C B2 -4375139558    +63    -7 +661310    994  24569        -550   -284
G16 FF 60377 010200  780 303 3549 +2147483647   -226 +2147483647   -185   37  37  154  +27  306  +56  0  0 L1C 03 -4375139558    +63    -7 +661310    994 -25929         -21   +124
G21 FF 60377 010200  780 242 1985 +2147483647   +225 +2147483647   +162   32 113  190  -24  317   +3  0  0 L1C E8 -4375139558    +63    -7 +661310    994   3858        +719   -228
G27 FF 60377 010200  780 736  669 +2147483647     +1 +2147483647    -58   39 108   81   +2  178  +13  0  0 L1C AC -4375139558    +63    -7 +661310    994    526        -859     -6
G31 FF 60377 010200  780 177  441 +2147483647     +2 +2147483647     +6   36  17  253  -21  430   +7  0  0 L1C 7C -4375139558    +63    -7 +661310    994  28451        +529    -71
G32 FF 60377 010200  780 259 1344 +2147483647   -200 +2147483647   -240   25 108  178  +36  337  +57  0  0 L1C 09 -4375139558    +63    -7 +661310    994  -5094        +631   +179
E04 FF 60377 010200  780 653  145 +2147483647   +239 +2147483647   +151   36 433   86   -5  186   +1  0  0 *E1 A1 -4375139558    +63    -7 +661310    994  14868          +0     +0
E09 FF 60377 010200  780 209 3357 +2147483647   +399 +2147483647   +263   38 435  218  -54  362  -20  0  0 *E1 FA -4375139558    +63    -7 +661310    994   5239        +203   -333
E10 FF 60377 010200  780 238 1980 +2147483647   +184 +2147483647   +154   40 435  192  -14  319  +11  0  0 *E1 E1 -4375139558    +63    -7 +661310    994   1709          +0     +0
E12 FF 60377 010200  780 308 1716 +2147483647   +243 +2147483647    +73   24 435  152   -8  290   +9  0  0 *E1 B0 -4375139558    +63    -7 +661310    994  13124        +431   -140
E14 FF 60377 010200  780 487  543 +2147483647   -485 +2147483647   -121   28 435  104   +6  227  +24  0  0 *E1 C7 -4375139558    +63    -7 +661310    994   2488          +0     +0
E19 FF 60377 010200  780 400 1272 +2147483647   -876 +2147483647   -160   36 435  121   +9  256  +29  0  0 *E1 DC -4375139558    +63    -7 +661310    994  -2711          +0     +0
E24 FF 60377 010200  780 342 2776 +2147483647   +234 +2147483647    +22   39 435  139   +4  264  +23  0  0 *E1 C4 -4375139558    +63    -7 +661310    994  -1222          +0     +0
E31 FF 60377 010200  780 351 3415 +2147483647   -104 +2147483647   -111   46 435  136  +15  275  +41  0  0 *E1 D7 -4375139558    +63    -7 +661310    994  -3687          +0     +0
E33 FF 60377 010200  780 200 1129 +2147483647    +19 +2147483647    +21   34 435  227   -4  398  +20  0  0 *E1 A4 -4375139558    +63    -7 +661310    994  21579          +0     +0
C01 FF 60377 010200  780 462  844 +2147483647     -5 +2147483647     +7   28   0  108   +0  240  +13  0  0 B1i 7A -4375139558    +63    -7 +661310    994    186          +0     +0
C02 FF 60377 010200  780 622 2842 +2147483647   -310 +2147483647    +42   27   0   88   +0  188  +11  0  0 B1i B6 -4375139558    +63    -7 +661310    994    174        -391    -79
C03 FF 60377 010200  780 826  333 +2147483647   -331 +2147483647    +24   28   0   79   +0  176  +10  0  0 B1i A6 -4375139558    +63    -7 +661310    994     13        -621    -72
C04 FF 60377 010200  780 291  872 +2147483647   +362 +2147483647    -44   33   0  160   +0  334  +17  0  0 B1i B7 -4375139558    +63    -7 +661310    994    178        +606    -62
C05 FF 60377 010200  780 342 2760 +2147483647   +656 +2147483647    +17   31   0  139   +0  268  +16  0  0 B1i D0 -4375139558    +63    -7 +661310    994    239        +382   -252
C06 FF 60377 010200  780 294  124 +2147483647   -150 +2147483647   +104   28   1  159  -11  324   +3  0  0 B1i C5 -4375139558    +63    -7 +661310    994  17310        +354   -167
C07 FF 60377 010200  780 740 3515 +2147483647   +699 +2147483647    +90   26   1   81   +2  179  +13  0  0 B1i CC -4375139558    +63    -7 +661310    994  -1036        -607   -151
C08 FF 60377 010200  780 351 1944 +2147483647   +237 +2147483647    -73   35   1  136   +8  267  +26  0  0 B1i DF -4375139558    +63    -7 +661310    994  -1987        +655    +12
C09 FF 60377 010200  780 237 3584 +2147483647   +606 +2147483647    +96   26   1  193  -12  360   +8  0  0 B1i E2 -4375139558    +63    -7 +661310    994   9804        +491   -159
C10 FF 60377 010200  780 771 2947 +2147483647    +78 +2147483647    -69   37   1   80   +1  176  +11  0  0 B1i BC -4375139558    +63    -7 +661310    994   -852        -531     +7
C13 FF 60377 010200  780 381 2128 +2147483647   -161 +2147483647   -144   28   1  126   +7  251  +25  0  0 B1i DE -4375139558    +63    -7 +661310    994  -1964        +518    +82
C16 FF 60377 010200  780 303  193 +2147483647   +325 +2147483647   +105   33   1  154  -11  320   +1  0  0 B1i B7 -4375139558    +63    -7 +661310    994  19519        +336   -168
J02 FF 60377 010200  780 292  310 +2147483647   -198 +2147483647    -63   28  33  159   +4  325  +23  0  0 L1C C1 -4375139558    +63    -7 +661310    994  -1542        +131     -2
J03 FF 60377 010200  780 376 1051 +2147483647   +158 +2147483647    +83   27  33  128   -3  272  +10  0  0 L1C CB -4375139558    +63    -7 +661310    994  11392        +132   -149
J04 FF 60377 010200  780 665 1384 +2147483647    +79 +2147483647    -32   27  33   85   +1  183  +12  0  0 L1C B5 -4375139558    +63    -7 +661310    994   1060          +0     +0
J07 FF 60377 010200  780 653  730 +2147483647    +13 +2147483647    +14   28  33   86   +0  187  +10  0  0 L1C 94 -4375139558    +63    -7 +661310    994     -3          +0     +0
R01 FF 60377 010200  780 803 2252 +2147483647    -89 +2147483647    -80   33   6   79   +2  166  +11  1  0 L1C A7 -4375139558    +63    -7 +661310    994      0       -1125    +17
