CGGTTS GPS DATA FORMAT VERSION = 01
REV DATE = 2004-02018
RECV = Freqtime remote calibration receiver  ver.1.25RTCXO
CH = 12
IMS = 2606825
LAB = ID0057
X = -1817480.29m
Y = +6073152.81m
Z = -701361.23m
FRAME = WGS-84
COMMENT = UTC(IDN)
INT DLY =        0.0 ns
CAB DLY =      399.0 ns
REF DLY =       60.0 ns
REF = EXTERNAL
CKSUM = AA

PRN CL  MJD  STTIME TRKL ELV AZTH   REFSV      SRSV     REFGPS    SRGPS  DSG IOE MDTR SMDT MDIO SMDI CK
  3 FF 60369 010200  780 319 2876    -2225195   +290      -17164    +78  103  87  151  -11  335   -1 46
 16 FF 60369 011800  780 363 3498    +3522376    -66      -17215    -75  170  79  134  +20  309  +52 69
 21 FF 60369 011800  780 212 2049    -1332240   -100      -17164    -10  111  12  220  -27  428   -2 29
 32 FF 60369 011800  780 312 1284    +6139031    +18      -17211   +110  196 121  154  +22  346  +48 64
 28 FF 60369 011800  780 118  629    +1471169    -32      -17110   +175  179  39  384  -28  571   +8 5E
  8 FF 60369 011800  780 537 2006     -185283   +269      -17163    +33   73  58   99  -10  231  -10 2B
 26 FF 60369 011800  780 154  157    -1851132     -7      -17179   +103  152  44  297  +89  499  +83 61
  2 FF 60369 011800  780 139 2164    +4780734    -29      -17101    -19   76  14  328  -60  440   +2 22
 31 FF 60369 011800  780 162  370    +2278870    +35      -17141   +107  117  82  284  -20  502   +8 3C
  4 FF 60369 011800  780 163 3368    -3031823   +124      -17122   +108  138 101  282 -108  459  -39 8B
 27 FF 60369 011800  780 754 1009      +79915    -35      -17129    +70   85  87   82   -1  202   +9 FE
  3 FF 60369 011800  780 342 2786    -2225436   +320      -17169   +157  142  87  142   -7  335   +1 4A
 21 FF 60369 013400  780 241 1983    -1332220   -145      -17178   -167  165  12  195  -24  424   -7 6A
 32 FF 60369 013400  780 259 1341    +6139124    -58      -17181    -79  182 121  182  +37  399  +60 79
 28 FF 60369 013400  780 127  700    +1471362   -117      -17064    -21  105  39  358  -24  577   +5 46
  8 FF 60369 013400  780 616 2025     -185549   +234      -17138   -103  143  58   91   -7  223   -5 28
  2 FF 60369 013400  780 167 2102    +4780674    +14      -17123    -83   97  14  275  -49  439   -3 2F
 31 FF 60369 013400  780 175  439    +2278894    -35      -17168    -68  152  82  263  -21  508   +2 4A
  4 FF 60369 013400  780 228 3375    -3031872    -26      -17128   -156  171 101  206  -58  419  -41 6D
 27 FF 60369 013400  780 734  684      +79882   -143      -17211   -151  203  87   83   +1  212  +12 21
  3 FF 60369 013400  780 357 2692    -2225636   +344      -17190    +67  119  87  137   -3  340   +6 41
 16 FF 60369 015000  780 249    1    +3522250    +60      -17170    +38   97  79  189  +38  427  +70 19
 21 FF 60369 015000  780 275 1917    -1332169    -93      -17140    -11   73  12  173  -21  414  -12 35
 32 FF 60369 015000  780 203 1384    +6139164   -109      -17126    -37   87 121  229  +64  464  +73 70
 28 FF 60369 015000  780 135  773    +1471455   -186      -17100    +17   84  39  338  -16  583   +6 43
  8 FF 60369 015000  780 697 2077     -185844   +366      -17169   +131  131  58   85   -4  220   +0 30
  2 FF 60369 015000  780 200 2041    +4780631   +136      -17110   +142  132  14  232  -40  432  -10 34
 31 FF 60369 015000  780 190  510    +2278834   +177      -17199   +240  236  82  243  -19  508   -1 5D
  4 FF 60369 015000  780 296 3374    -3031973   +146      -17141   +122  145 101  161  -35  380  -39 74
 27 FF 60369 015000  780 679  474      +79977   -103      -17148     -1   77  87   86   +3  227  +18 12
  3 FF 60369 015000  780 363 2594    -2225868   +194      -17170    +24   69  87  135   -1  348  +11 42
 16 FF 60369 020600  780 199   52    +3522164    +29      -17121   -121  134 103  233  +54  498  +76 53
 21 FF 60369 020600  780 313 1850    -1332186    -48      -17142    -97  125  13  154  -18  400  -16 4E
 32 FF 60369 020600  780 144 1415    +6139124    -84      -17154   -136  149 124  316 +131  540  +85 88
 28 FF 60369 020600  780 140  847    +1471518    -36      -17138    +31   81  40  325   -8  589   +8 1E
  8 FF 60369 020600  780 774 2212     -186149   +291      -17131    -75  112  59   82   -2  222   +4 10
  2 FF 60369 020600  780 238 1981    +4780517    +19      -17111   -112  132  40  197  -32  419  -16 55
 31 FF 60369 020600  780 206  583    +2278888    +22      -17092    -40   72  88  226  -17  506   -3 30
  4 FF 60369 020600  780 368 3364    -3032117   +152      -17145     -5  113 102  133  -23  343  -35 42
 27 FF 60369 020600  780 609  357      +79968    -62      -17160   -100  111  88   91   +6  248  +26 22
  3 FF 60369 020600  780 362 2498    -2226116   +233      -17140    -64   85  88  135   +0  361  +15 31
 16 FF 60369 022200  780 154  102    +3522105   +101      -17113    +64  102 103  296  +80  574  +81 45
 21 FF 60369 022200  780 355 1780    -1332193    -22      -17149    +37   77  13  137  -15  383  -18 49
 28 FF 60369 022200  780 142  922    +1471626   -142      -17117    +34   70  40  322   +1  600  +13 14
  8 FF 60369 022200  780 826 2643     -186425   +272      -17105    +16   48  59   80   -1  228   +7 08
  2 FF 60369 022200  780 280 1921    +4780476    +78      -17109    +63   77  40  170  -25  402  -20 31
 31 FF 60369 022200  780 221  659    +2278845    +30      -17122    +76   90  88  211  -13  502   -3 1A
  4 FF 60369 022200  780 442 3342    -3032224   +137      -17152    +93  274 102  115  -15  313  -28 52
 27 FF 60369 022200  780 532  291      +79979    -26      -17165    +50   78  88   99  +10  279  +37 26
  3 FF 60369 022200  780 355 2403    -2226374   +255      -17184    +65  114  88  137   +3  377  +18 4C
 16 FF 60369 023800  780 115  155    +3522079   +172      -17074   +152  171 103  390 +121  653  +83 84
 21 FF 60369 023800  780 401 1705    -1332179    +14      -17165    +92  102  13  124  -12  366  -18 46
 28 FF 60369 023800  780 138  996    +1471770   -141      -17144    +55  114  40  329  +15  615  +19 64
  8 FF 60369 023800  780 796 3214     -186736   +305      -17144    +72   99  59   81   +1  237  +11 27
  2 FF 60369 023800  780 328 1861    +4780425    +28      -17119    +31  164  40  147  -20  381  -22 43
 31 FF 60369 023800  780 234  736    +2278813    -72      -17198     -6  127  88  200   -9  500   -1 1C
  4 FF 60369 023800  780 516 3304    -3032298    +67      -17179    +36  100 102  102  -10  289  -20 4B
 27 FF 60369 023800  780 454  253      +80033    -37      -17185    +58  103  88  112  +15  321  +51 1B
  3 FF 60369 023800  780 344 2312    -2226605   +353      -17230   +177  198  88  141   +4  396  +20 5A
 21 FF 60369 030600  780 485 1551    -1332145     -3      -17099     -2   65  13  107   -7  338  -13 0C
 28 FF 60369 030600  780 117 1121    +1471942     +9      -17137   +126  150  40  385  +56  660  +34 51
  8 FF 60369 030600  780 663 3488     -187266   +325      -17109     +8   87  59   87   +5  264  +22 23
  9 FF 60369 030600  780 215 3199    -1080337   +191      -17086    +47  136  26  217  -59  518  -54 70
  2 FF 60369 030600  780 420 1749    +4780312   +146      -17072    +70  105  40  119  -13  342  -21 42
 31 FF 60369 030600  780 247  877    +2278867    -21      -17091    -30   73  88  191   -2  503   +6 22
  4 FF 60369 030600  780 643 3166    -3032454   +133      -17124    +27   86 102   89   -5  266   -7 27
 27 FF 60369 030600  780 322  223      +80077    -37      -17107    -23   73  88  149  +31  429  +78 1A
  3 FF 60369 030600  780 320 2162    -2226970    +84      -17117   -168  182  88  150   +5  433  +22 43
 21 FF 60369 032200  780 531 1441    -1332118    -76      -17112    -65  153  13  100   -5  326   -9 1C
  8 FF 60369 032200  780 582 3543     -187515   +345      -17146    +38   92  59   94   +8  290  +32 29
  9 FF 60369 032200  780 274 3156    -1080400    +45      -17050    -81  168  26  173  -34  469  -46 4D
  2 FF 60369 032200  780 478 1675    +4780258    +54      -17096     -6  128  40  108  -10  323  -18 3E
 31 FF 60369 032200  780 245  958    +2278825   +123      -17181   +117  176  88  192   +3  512  +13 5F
  4 FF 60369 032200  780 703 3006    -3032523   +179      -17130    +87  122 102   85   -2  262   -1 1B
 27 FF 60369 032200  780 251  221      +80160   -218      -17080   -188  176  88  187  +50  512  +94 4B
  3 FF 60369 032200  780 307 2081    -2227174   +241      -17169     +8   92   6  156   +5  455  +22 0C
 21 FF 60369 033800  780 570 1307    -1332102   -150      -17151   -159  164  13   95   -3  320   -4 32
  8 FF 60369 033800  780 503 3581     -187825   +290      -17156    -36   96  59  104  +11  326  +43 47
  9 FF 60369 033800  780 330 3101    -1080546   +260      -17109   +102  160  26  146  -21  429  -37 5A
  2 FF 60369 033800  780 536 1589    +4780223    +40      -17088    -44   87  40   99   -7  307  -13 2A
 31 FF 60369 033800  780 236 1037    +2278859    +60      -17164    +33   89  88  198  +10  529  +21 5E
  4 FF 60369 033800  780 738 2745    -3032612   +164      -17170    +46   74 102   83   +0  264   +3 1D
 27 FF 60369 033800  780 183  226      +80201    -80      -17109    -71   97  88  252  +90  611 +111 22
  3 FF 60369 033800  780 295 2003    -2227383   +212      -17163    -50  110   6  162   +5  475  +20 20
 21 FF 60369 035400  780 596 1148    -1332116    +84      -17162    +23   64  13   92   -1  318   +1 06
 17 FF 60369 035400  780 156 2251    -7154064    +15      -17023    -34  133  64  295  -98  585  -44 6A
  8 FF 60369 035400  780 428   13     -188108   +224      -17139   -139  168  59  117  +16  374  +55 4A
  9 FF 60369 035400  780 381 3030    -1080686   +238      -17121    +50  146  26  129  -14  397  -28 60
  2 FF 60369 035400  780 592 1479    +4780167    +51      -17068    -81   96  40   93   -5  295   -8 22
 31 FF 60369 035400  780 220 1112    +2278870     +1      -17139    -68  101  88  212  +19  554  +30 3A
  4 FF 60369 035400  780 733 2435    -3032689    -33      -17119   -193  181 102   83   +1  269   +7 3E
  3 FF 60369 035400  780 286 1927    -2227605   +174      -17121   -128  133   6  166   +4  493  +17 4E
 21 FF 60369 041000  780 602  971    -1332082     -3      -17138    +31   74  14   92   +0  322   +7 D3
 17 FF 60369 041000  780 205 2303    -7154106    -17      -17098    +10  104  66  227  -51  545  -38 50
  8 FF 60369 041000  780 357   44     -188380   +233      -17088    -51  105  60  136  +23  433  +68 24
  9 FF 60369 041000  780 425 2944    -1080786   +344      -17086   +228  251  27  118   -9  375  -18 70
  2 FF 60369 041000  780 641 1332    +4780084    +19      -17088    -24   70   4   89   -3  310   -4 E6
 31 FF 60369 041000  780 195 1182    +2278935    -12      -17070     +6   91  91  237  +33  588  +40 38
  4 FF 60369 041000  780 692 2199    -3032785   +148      -17117    +71   86 103   85   +3  278  +12 40
  3 FF 60369 041000  780 280 1851    -2227815   +325      -17125   +107  110   7  169   +2  509  +13 34
 21 FF 60369 042600  780 586  799    -1332097    +62      -17088   +145  145  14   93   +2  333  +15 43
  7 FF 60369 042600  780 140 3388     +730911    -73      -17148    +85   98  30  326 -128  741  -82 4C
 17 FF 60369 042600  780 249 2365    -7154113     -7      -17066    +76  104  66  189  -29  512  -30 59
  8 FF 60369 042600  780 290   75     -188675   +181      -17042    -48   76  60  164  +34  504  +79 2B
  9 FF 60369 042600  780 459 2842    -1080909   +166      -17032    +99  101  27  111   -5  360  -11 49
  2 FF 60369 042600  780 674 1135    +4780015    -58      -17073    -52   85   4   86   -1  309   +0 F1
 31 FF 60369 042600  780 164 1245    +2278963   -126      -16991    -59  101  91  279  +58  632  +51 84
  4 FF 60369 042600  780 633 2050    -3032875    -45      -17095    -73   89 103   89   +5  293  +18 37
  3 FF 60369 042600  780 278 1776    -2228067   +178      -17098     +8   56   7  171   +0  520   +9 15
 21 FF 60369 044200  780 549  654    -1332058     +0      -17087    +10   97  14   97   +5  352  +24 FF
  7 FF 60369 044200  780 198 3409     +731074    -46      -17094    +36   93  30  235  -70  662  -81 35
 17 FF 60369 044200  780 285 2439    -7154068    -24      -17031    -13   89  66  167  -17  487  -20 61
  8 FF 60369 044200  780 229  108     -188922   +368      -17049    +59   84  60  204  +51  585  +88 43
  9 FF 60369 044200  780 481 2727    -1081079   +101      -17051    -29  118  27  107   -2  353   -3 31
  2 FF 60369 044200  780 679  905    +4779946   +118      -17081    +53  107   4   86   +0  313   +6 0F
 31 FF 60369 044200  780 126 1299    +2278922    +47      -17031    +43   95  91  358 +114  686  +60 69
  4 FF 60369 044200  780 569 1950    -3032955    +71      -17060    -20   79 103   95   +7  314  +25 27
  3 FF 60369 044200  780 279 1701    -2228261   +160      -17066    -75  108   7  170   -1  527   +5 1F
 21 FF 60369 045800  780 498  541    -1332038    -24      -17080    +39  117  14  104   +9  380  +35 33
  7 FF 60369 045800  780 260 3424     +731185   -102      -17039    +35   92  30  182  -43  585  -76 41
 17 FF 60369 045800  780 311 2523    -7154063     -7      -17038    +57  116  66  154   -9  471  -11 3E
  8 FF 60369 045800  780 172  143     -189196   +335      -17006    +85  113  60  266  +82  674  +95 4E
  9 FF 60369 045800  780 491 2604    -1081196     +1      -17041    -75  166  27  106   +0  352   +2 0C
  2 FF 60369 045800  780 654  694    +4779881   +184      -17061   +175  166   4   88   +2  322  +13 3F
  4 FF 60369 045800  780 504 1875    -3033037   +137      -17049    +94  105 103  103   +9  342  +33 52
  3 FF 60369 045800  780 283 1626    -2228499   +159      -17048    -28   63   7  168   -3  530   +0 28
 21 FF 60369 051400  780 439  457    -1332044    -18      -17023    +98  113  14  115  +13  421  +49 39
  7 FF 60369 051400  780 327 3435     +731231    -95      -17003    +96  108  30  148  -28  516  -68 3F
 17 FF 60369 051400  780 327 2613    -7154089    -13      -17001   +104  125  66  147   -4  465   -1 41
  8 FF 60369 051400  780 122  181     -189546    +66      -16964   -131  140  60  371 +145  768  +99 5F
  9 FF 60369 051400  780 487 2481    -1081366    -13      -17012    -37   85  27  106   +1  356   +7 17
 19 FF 60369 051400  780 152 2378    -4472731   -107      -16867    -60   94  55  302  -59  647  -27 7B
  2 FF 60369 051400  780 606  536    +4779825    +33      -16984    +79  110   4   91   +5  338  +21 0F
  4 FF 60369 051400  780 442 1813    -3033155    +59      -16976    +69   97 103  114  +12  377  +39 56
  3 FF 60369 051400  780 290 1549    -2228772   +284      -17047   +149  145   7  164   -4  529   -3 48
 21 FF 60369 053000  780 374  397    -1332038     +9      -17042   -130  176  14  131  +20  475  +64 3A
  7 FF 60369 053000  780 398 3438     +731297    -35      -17060   -103  116  30  125  -20  455  -57 4A
 17 FF 60369 053000  780 333 2707    -7154030    -49      -16993   -195  170  66  145   +0  468   +6 58
  9 FF 60369 053000  780 473 2364    -1081475   +229      -17034    -53  139  27  108   +3  366  +12 4B
 19 FF 60369 053000  780 178 2444    -4472793   +216      -16943     +9   64  55  259  -32  624  -19 69
  2 FF 60369 053000  780 545  430    +4779741   +132      -17045    -85   98   4   98   +8  364  +32 13
  4 FF 60369 053000  780 383 1758    -3033230   +103      -17030   -142  154 103  128  +16  418  +45 64
  3 FF 60369 053000  780 300 1469    -2228979   +245      -17066   -145  140   7  160   -4  525   -5 39
 21 FF 60369 054600  780 308  354    -1332012    +92      -16921    -22  154  14  155  +31  544  +80 35
  7 FF 60369 054600  780 472 3435     +731374    -30      -16957    -73  101  30  109  -13  405  -45 38
 17 FF 60369 054600  780 328 2801    -7154048    -20      -16887   -133  126  66  147   +3  478  +14 6C
 30 FF 60369 054600  780 178 3313    +4262869   +148      -16987    -32  123  88  259  -91  675  -94 9E
  9 FF 60369 054600  780 451 2255    -1081628    +89      -16951   -170  161  27  112   +4  380  +16 4F
 19 FF 60369 054600  780 197 2516    -4472868    +18      -16825   -171  162  55  235  -17  610  -10 83
  2 FF 60369 054600  780 478  359    +4779686    +32      -16933   -158  157   4  108  +12  401  +45 51
  4 FF 60369 054600  780 328 1706    -3033347    +94      -16919   -129  137 103  147  +21  464  +49 7C
  3 FF 60369 054600  780 310 1388    -2229203   +241      -16926   -126  134   7  155   -4  519   -6 38
 21 FF 60369 060200  780 242  325    -1331945    -52      -16917    -90  205 116  193  +50  629  +96 5D
  7 FF 60369 060200  780 551 3421     +731480    -56      -16963    -21   88 121   97   -9  366  -33 23
 17 FF 60369 060200  780 315 2892    -7154005    -92      -16884   -130  155  68  152   +7  496  +22 6A
 30 FF 60369 060200  780 243 3306    +4262887     +9      -16946    -98  144 110  194  -50  588  -84 75
  6 FF 60369 060200  780 139 2127    -3880346    -85      -17029    +14  135  28  330 -149  720  -83 66
  9 FF 60369 060200  780 425 2157    -1081689    +79      -16914   -107  182  28  118   +6  397  +19 66
 19 FF 60369 060200  780 209 2591    -4472872   +110      -16811     +4   97  62  222   -8  604   -1 25
  2 FF 60369 060200  780 408  312    +4779652    +96      -16932    -19  114  15  122  +17  451  +59 3C
  4 FF 60369 060200  780 278 1654    -3033387   +160      -16920    +12   85 104  170  +27  511  +50 4C
  3 FF 60369 060200  780 321 1303    -2229411    +23      -16959   -268  245  68  150   -4  513   -6 31
 21 FF 60369 061800  780 178  307    -1331954    +97      -16889    +39   97 116  259  +92  728 +111 82
  7 FF 60369 061800  780 632 3391     +731539   -109      -16937    -92  117 121   89   -6  339  -22 52
 17 FF 60369 061800  780 297 2979    -7154047    +63      -16885     +3   70  68  161  +10  520  +27 4F
 30 FF 60369 061800  780 310 3290    +4262884    +97      -16849    -24  106 110  155  -31  513  -72 6F
  6 FF 60369 061800  780 202 2141    -3880193    -69      -16975    +15   92  28  230  -71  641  -79 4E
  9 FF 60369 061800  780 397 2066    -1081837   +302      -16915   +103  129  28  125   +7  416  +21 60
 19 FF 60369 061800  780 214 2669    -4472897    +61      -16729    -67   88  62  218   -1  606   +6 50
  2 FF 60369 061800  780 339  281    +4779601    +69      -16874    -62   85  15  143  +26  515  +74 40
  4 FF 60369 061800  780 233 1602    -3033501   +141      -16895    -22   74 104  200  +35  560  +49 47
  3 FF 60369 061800  780 330 1214    -2229592   +356      -16890    +47  102  68  146   -3  507   -5 3D
  7 FF 60369 063400  780 713 3326     +731623   -125      -16931   -132  127 121   84   -4  322  -12 3C
 17 FF 60369 063400  780 274 3060    -7154031   -112      -16915   -219  208  68  173  +14  549  +32 82
 30 FF 60369 063400  780 378 3261    +4262801   +150      -16901     +0  115 110  130  -20  450  -58 4C
  6 FF 60369 063400  780 266 2167    -3880058   -253      -17005   -200  177  28  178  -40  568  -70 82
  9 FF 60369 063400  780 368 1983    -1081959   +217      -16904    -10   59  28  133   +8  437  +22 50
 19 FF 60369 063400  780 211 2748    -4472940   +108      -16716    -45   71  62  220   +4  616  +13 49
  2 FF 60369 063400  780 271  263    +4779513    +50      -16899   -101  146  15  174  +41  593  +88 5C
  4 FF 60369 063400  780 193 1548    -3033586   +155      -16882    -39   99 104  240  +46  607  +47 76
  3 FF 60369 063400  780 337 1123    -2229864   +207      -16898   -131  145  68  144   -1  504   -1 4E
  7 FF 60369 065000  780 790 3159     +731715   -137      -16866    -85   92 121   81   -1  314   -5 24
 17 FF 60369 065000  780 250 3136    -7154081    +94      -16894    +71  134  11  188  +17  581  +34 63
 30 FF 60369 065000  780 446 3218    +4262730   +103      -16867    +17  106 110  114  -13  400  -45 65
  6 FF 60369 065000  780 328 2206    -3879900   -241      -16915   -118  134  28  147  -25  506  -58 81
  9 FF 60369 065000  780 341 1905    -1082087   +187      -16851    +24   74  28  142   +9  458  +21 42
 19 FF 60369 065000  780 204 2826    -4473005    +83      -16700     -1   63  62  228  +10  631  +19 2B
  2 FF 60369 065000  780 206  255    +4779431   +137      -16918    +43  113  15  225  +69  684 +101 5D
  4 FF 60369 065000  780 157 1493    -3033686    +72      -16839    -54  105 104  291  +60  651  +43 62
 14 FF 60369 065000  780 125 3435    -3381925     -3      -16950   -141  143 187  364 -107  780  -70 88
  3 FF 60369 065000  780 338 1029    -2230115   +260      -16869    -10   64  68  143   +1  504   +3 15
  7 FF 60369 070600  780 834 2618     +731823   -117      -16925    +46   62 121   80   +0  310   -1 0A
 17 FF 60369 070600  780 226 3209    -7154063   -235      -16946   -144  135  11  207  +20  653  +36 7E
 30 FF 60369 070600  780 513 3154    +4262653   +111      -16946   +128  133 110  102   -9  362  -33 6B
  6 FF 60369 070600  780 388 2262    -3879707   -302      -16928    -69  193  28  127  -16  456  -45 8A
  9 FF 60369 070600  780 316 1829    -1082196     +3      -16864    -51   79  28  152  +10  478  +19 3C
 19 FF 60369 070600  780 192 2903    -4473122   +112      -16794   +133  125  62  240  +15  652  +23 75
  2 FF 60369 070600  780 143  256    +4779397    +57      -16896    +75  107  15  317 +134  787 +112 7A
  4 FF 60369 070600  780 127 1436    -3033749     -1      -16867    -21  112 104  357  +79  690  +38 55
 14 FF 60369 070600  780 165 3483    -3381977    -13      -16934    -46  108 187  279  -72  711  -74 94
  3 FF 60369 070600  780 333  934    -2230349   +244      -16934    +86   92  68  145   +3  509   +9 25
  7 FF 60369 072200  780 790 2081     +731941    -98      -16942    -24   65 121   81   +1  311   +3 FF
 17 FF 60369 072200  780 203 3278    -7153968    -82      -16938    -83  105  11  228  +23  687  +33 74
 30 FF 60369 072200  780 573 3061    +4262579    +38      -17024    -27   77   0   95   -6  357  -24 20
  6 FF 60369 072200  780 441 2339    -3879536   -165      -16979    -27  115  28  115  -10  419  -32 76
  9 FF 60369 072200  780 295 1756    -1082298    +79      -16916    -64   83  28  162  +10  496  +16 5A
 19 FF 60369 072200  780 179 2977    -4473109    +28      -16803    -43   83  62  258  +20  675  +25 66
 14 FF 60369 072200  780 210 3530    -3381964   +121      -16906     +5   69 187  222  -49  639  -74 6B
  3 FF 60369 072200  780 320  842    -2230568   +308      -17028    +57   65  68  150   +7  522  +17 24
 22 FF 60369 073800  780 117 3424     -235143   -158      -16835    -53   94  60  386 -141  790  -88 76
  7 FF 60369 073800  780 713 1907     +732003   -186      -16955    -50   81 121   84   +4  317   +9 1E
 17 FF 60369 073800  780 184 3344    -7153950     -8      -16949    +50   79  11  251  +24  717  +28 51
 30 FF 60369 073800  780 624 2927    +4262599     -1      -16971     -2   79   0   90   -3  339  -14 04
  6 FF 60369 073800  780 484 2437    -3879393     +6      -16978   +212  204  28  107   -6  393  -21 59
 11 FF 60369 073800  780 170 2240    +5915651   -177      -16932     -7   83  29  271  -82  643  -69 64
  9 FF 60369 073800  780 277 1684    -1082410   +177      -16920    +95  104  28  171   +9  510  +12 50
 19 FF 60369 073800  780 164 3050    -4473248    +52      -16908    +44   76  62  279  +24  700  +24 59
 14 FF 60369 073800  780 261 3575    -3382076   +211      -16940   +161  164 187  181  -34  568  -71 A5
  3 FF 60369 073800  780 299  753    -2230788   +298      -17012   +111  115  68  160  +12  543  +26 63
 22 FF 60369 075400  780 163 3463     -235108     -9      -16889   +106  130  60  282  -83  705  -87 5C
  7 FF 60369 075400  780 634 1827     +732120    -61      -16955    +84   97 121   89   +6  330  +17 24
 17 FF 60369 075400  780 168 3410    -7153923    -13      -16928    +38   67  11  274  +22  741  +20 4F
 30 FF 60369 075400  780 656 2747    +4262549    -81      -16969    -86  117   0   88   -1  328   -7 3B
  6 FF 60369 075400  780 513 2558    -3879234    -61      -17000   +152  193  28  102   -3  377  -11 4D
 11 FF 60369 075400  780 220 2288    +5915796   -237      -16879    -62  147  29  212  -45  582  -58 97
  9 FF 60369 075400  780 263 1613    -1082561   +232      -16946   +148  151  28  180   +8  521   +9 50
 19 FF 60369 075400  780 150 3121    -4473301    +32      -16912    +30  160  62  304  +26  723  +22 3F
 14 FF 60369 075400  780 317   21    -3382190   +286      -16955   +232  209 187  152  -25  502  -66 78
  3 FF 60369 075400  780 270  672    -2231022    +61      -16965   -127  146  68  175  +20  573  +37 4F
 22 FF 60369 081000  780 215 3499     -235010     +0      -16835    +30   77  61  218  -53  622  -84 1E
  7 FF 60369 081000  780 555 1775     +732160    -86      -16957    -22   61 122   97   +9  351  +26 25
 17 FF 60369 081000  780 156 3474    -7153940    -99      -16921   -109  125  12  293  +17  756  +10 7C
